order_id,customer_id,order_date,product,category,price,quantity
151,C2679,2024-12-24,Desk,Furniture,350,2
152,C4627,2025-10-15,Watch,Accessories,150,1
153,C9566,2024-05-17,Phone,Electronics,600,2
154,C7457,2025-08-11,Shoes,Fashion,80,3
155,C1423,2025-07-18,Chair,Furniture,200,5
156,C8840,2025-03-08,Laptop,Electronics,800,1
157,C9549,2024-05-14,Chair,Furniture,200,4
158,C8411,2025-01-02,Backpack,Accessories,70,5
159,C7586,2024-12-29,Headphones,Electronics,120,5
160,C1371,2024-05-12,Phone,Electronics,600,3
161,C2389,2025-07-28,Headphones,Electronics,120,2
162,C1590,2024-09-06,Watch,Accessories,150,2
163,C4470,2025-02-03,Jeans,Fashion,60,5
164,C2147,2026-01-20,Jeans,Fashion,60,4
165,C1844,2025-03-28,Laptop,Electronics,800,2
166,C7015,2024-05-26,Phone,Electronics,600,1
167,C7149,2024-12-24,Jeans,Fashion,60,3
168,C3519,2025-10-26,Desk,Furniture,350,4
169,C6945,2025-02-27,Watch,Accessories,150,2
170,C7010,2025-05-30,Backpack,Accessories,70,1
171,C9732,2025-11-06,Chair,Furniture,200,4
172,C1801,2026-02-07,Backpack,Accessories,70,1
173,C4910,2025-04-12,Backpack,Accessories,70,3
174,C1038,2025-03-20,Tshirt,Fashion,30,1
175,C7129,2025-10-01,Tshirt,Fashion,30,2
176,C8554,2026-02-10,Desk,Furniture,350,2
177,C5008,2025-03-28,Headphones,Electronics,120,5
178,C3215,2024-11-15,Headphones,Electronics,120,3
179,C6439,2026-02-22,Laptop,Electronics,800,3
180,C1977,2025-03-16,Watch,Accessories,150,2
181,C9625,2024-05-05,Phone,Electronics,600,5
182,C5421,2025-04-21,Jeans,Fashion,60,4
183,C4355,2025-09-23,Backpack,Accessories,70,1
184,C5797,2025-07-29,Chair,Furniture,200,4
185,C5421,2025-09-15,Jeans,Fashion,60,1
186,C6441,2025-01-22,Phone,Electronics,600,5
187,C6334,2025-11-19,Desk,Furniture,350,1
188,C8635,2025-07-30,Tshirt,Fashion,30,2
189,C3226,2025-06-17,Backpack,Accessories,70,4
190,C9548,2024-08-12,Headphones,Electronics,120,1
191,C7314,2024-10-05,Headphones,Electronics,120,2
192,C8150,2025-08-20,Watch,Accessories,150,2
193,C6151,2024-06-04,Tshirt,Fashion,30,4
194,C6708,2024-08-02,Watch,Accessories,150,5
195,C4669,2026-01-31,Desk,Furniture,350,1
196,C9281,2025-07-17,Shoes,Fashion,80,2
197,C8639,2024-09-23,Jeans,Fashion,60,3
198,C7728,2025-02-02,Tshirt,Fashion,30,3
199,C4679,2024-05-12,Backpack,Accessories,70,2
200,C5685,2025-06-11,Jeans,Fashion,60,1
201,C4760,2024-12-08,Laptop,Electronics,800,1
202,C1770,2024-05-06,Laptop,Electronics,800,2
203,C9525,2025-06-02,Desk,Furniture,350,2
204,C2142,2025-07-26,Jeans,Fashion,60,3
205,C5027,2026-02-02,Jeans,Fashion,60,2
206,C5551,2025-06-11,Phone,Electronics,600,3
207,C5764,2024-06-09,Desk,Furniture,350,2
208,C2232,2025-01-04,Desk,Furniture,350,1
209,C1821,2024-10-09,Desk,Furniture,350,2
210,C9860,2025-02-22,Tshirt,Fashion,30,4
211,C7239,2024-06-17,Tshirt,Fashion,30,3
212,C3826,2025-05-20,Laptop,Electronics,800,4
213,C7389,2025-08-29,Shoes,Fashion,80,5
214,C4045,2025-05-28,Backpack,Accessories,70,3
215,C2655,2024-08-01,Backpack,Accessories,70,2
216,C9198,2024-08-19,Backpack,Accessories,70,3
217,C7923,2025-06-27,Tshirt,Fashion,30,1
218,C3050,2024-08-14,Backpack,Accessories,70,5
219,C7426,2025-04-09,Phone,Electronics,600,3
220,C1474,2024-03-26,Backpack,Accessories,70,1
221,C1090,2024-04-29,Backpack,Accessories,70,2
222,C5056,2025-06-23,Backpack,Accessories,70,3
223,C8404,2025-05-25,Shoes,Fashion,80,1
224,C2369,2024-04-11,Phone,Electronics,600,2
225,C2611,2025-05-10,Chair,Furniture,200,3
226,C1018,2024-10-30,Backpack,Accessories,70,5
227,C7662,2025-05-05,Desk,Furniture,350,4
228,C1298,2025-06-07,Headphones,Electronics,120,4
229,C2625,2024-06-09,Desk,Furniture,350,5
230,C3766,2024-12-26,Shoes,Fashion,80,1
231,C9554,2024-03-22,Jeans,Fashion,60,1
232,C3525,2024-11-03,Desk,Furniture,350,1
233,C6667,2026-02-12,Shoes,Fashion,80,1
234,C7697,2026-01-07,Jeans,Fashion,60,1
235,C3882,2025-10-18,Backpack,Accessories,70,3
236,C2150,2025-12-09,Headphones,Electronics,120,4
237,C4591,2025-04-26,Backpack,Accessories,70,5
238,C7880,2025-03-12,Laptop,Electronics,800,1
239,C8521,2025-07-04,Headphones,Electronics,120,4
240,C7940,2025-06-16,Backpack,Accessories,70,4
241,C6832,2025-12-06,Shoes,Fashion,80,5
242,C2070,2025-01-28,Shoes,Fashion,80,5
243,C8806,2024-04-20,Headphones,Electronics,120,4
244,C7549,2025-04-10,Shoes,Fashion,80,5
245,C3324,2025-12-07,Backpack,Accessories,70,2
246,C6080,2025-05-07,Desk,Furniture,350,1
247,C6696,2024-12-25,Watch,Accessories,150,2
248,C4918,2024-08-31,Chair,Furniture,200,1
249,C4146,2025-06-07,Headphones,Electronics,120,4
250,C9807,2024-06-22,Desk,Furniture,350,5
251,C2661,2025-01-29,Chair,Furniture,200,1
252,C9618,2025-02-09,Chair,Furniture,200,2
253,C9618,2025-04-12,Jeans,Fashion,60,5
254,C2729,2025-08-13,Laptop,Electronics,800,1
255,C5077,2024-09-09,Desk,Furniture,350,5
256,C9655,2024-08-07,Backpack,Accessories,70,2
257,C8115,2024-11-17,Tshirt,Fashion,30,5
258,C7459,2024-12-29,Backpack,Accessories,70,4
259,C4714,2025-01-19,Tshirt,Fashion,30,2
260,C8369,2025-04-18,Backpack,Accessories,70,5
261,C6788,2024-09-04,Headphones,Electronics,120,3
262,C4817,2024-12-26,Backpack,Accessories,70,5
263,C5269,2024-06-09,Tshirt,Fashion,30,2
264,C3987,2025-03-24,Shoes,Fashion,80,3
265,C3110,2024-03-30,Jeans,Fashion,60,4
266,C9374,2025-04-25,Headphones,Electronics,120,3
267,C9526,2024-08-23,Tshirt,Fashion,30,1
268,C7423,2025-09-04,Shoes,Fashion,80,2
269,C9266,2025-01-12,Watch,Accessories,150,1
270,C3257,2026-01-26,Phone,Electronics,600,1
271,C6285,2024-11-30,Phone,Electronics,600,2
272,C3182,2024-08-29,Headphones,Electronics,120,2
273,C7084,2025-09-17,Phone,Electronics,600,1
274,C3194,2025-06-02,Desk,Furniture,350,3
275,C5922,2024-09-06,Tshirt,Fashion,30,2
276,C3037,2024-09-29,Shoes,Fashion,80,1
277,C4401,2024-05-27,Laptop,Electronics,800,3
278,C4778,2024-04-22,Backpack,Accessories,70,2
279,C2622,2025-05-10,Desk,Furniture,350,3
280,C2254,2024-07-27,Backpack,Accessories,70,2
281,C7631,2024-07-28,Desk,Furniture,350,4
282,C8279,2025-07-11,Headphones,Electronics,120,1
283,C8699,2025-01-04,Chair,Furniture,200,3
284,C8981,2025-08-10,Chair,Furniture,200,1
285,C3118,2024-09-05,Watch,Accessories,150,4
286,C6925,2025-10-01,Shoes,Fashion,80,5
287,C8638,2024-12-09,Shoes,Fashion,80,1
288,C3774,2024-12-04,Shoes,Fashion,80,5
289,C3074,2025-03-19,Shoes,Fashion,80,2
290,C3334,2024-10-21,Headphones,Electronics,120,1
291,C6335,2025-07-30,Shoes,Fashion,80,5
292,C8939,2024-04-30,Desk,Furniture,350,1
293,C9204,2024-03-24,Shoes,Fashion,80,4
294,C9677,2025-10-01,Phone,Electronics,600,2
295,C4789,2024-04-25,Watch,Accessories,150,1
296,C9579,2025-04-29,Backpack,Accessories,70,4
297,C8448,2025-01-25,Laptop,Electronics,800,5
298,C7380,2026-01-03,Phone,Electronics,600,2
299,C3425,2025-11-15,Desk,Furniture,350,2
300,C9237,2025-10-24,Chair,Furniture,200,3
301,C1212,2025-03-08,Backpack,Accessories,70,5
302,C2456,2025-04-28,Shoes,Fashion,80,4
303,C9561,2024-05-24,Tshirt,Fashion,30,3
304,C1675,2024-07-20,Desk,Furniture,350,4
305,C7847,2025-06-26,Chair,Furniture,200,1
306,C1085,2026-01-08,Headphones,Electronics,120,5
307,C1301,2025-03-13,Laptop,Electronics,800,1
308,C4133,2024-11-01,Laptop,Electronics,800,3
309,C5443,2024-05-22,Backpack,Accessories,70,4
310,C5873,2026-02-24,Watch,Accessories,150,2
311,C3462,2025-07-26,Phone,Electronics,600,2
312,C2029,2024-06-02,Jeans,Fashion,60,2
313,C1891,2026-02-18,Jeans,Fashion,60,2
314,C2802,2024-05-20,Shoes,Fashion,80,5
315,C7455,2024-04-09,Headphones,Electronics,120,2
316,C3654,2024-05-31,Desk,Furniture,350,3
317,C8115,2024-05-02,Shoes,Fashion,80,2
318,C7524,2025-05-29,Headphones,Electronics,120,4
319,C5805,2024-06-14,Watch,Accessories,150,2
320,C1983,2026-02-12,Laptop,Electronics,800,2
321,C1940,2026-02-22,Chair,Furniture,200,3
322,C3033,2025-05-03,Watch,Accessories,150,1
323,C3472,2024-03-21,Tshirt,Fashion,30,1
324,C3709,2025-01-12,Phone,Electronics,600,2
325,C9251,2025-02-22,Headphones,Electronics,120,4
326,C5345,2025-01-28,Desk,Furniture,350,4
327,C6850,2024-11-12,Tshirt,Fashion,30,2
328,C7450,2024-03-23,Shoes,Fashion,80,5
329,C3932,2024-09-04,Jeans,Fashion,60,2
330,C3063,2024-09-23,Watch,Accessories,150,5
331,C7813,2026-02-10,Laptop,Electronics,800,4
332,C3712,2026-02-07,Headphones,Electronics,120,4
333,C1032,2024-06-14,Laptop,Electronics,800,2
334,C1490,2026-02-14,Watch,Accessories,150,1
335,C8423,2026-03-02,Headphones,Electronics,120,4
336,C9975,2026-02-28,Headphones,Electronics,120,2
337,C4688,2025-03-14,Tshirt,Fashion,30,4
338,C9263,2025-11-16,Jeans,Fashion,60,1
339,C7130,2025-04-15,Phone,Electronics,600,1
340,C7515,2025-11-20,Chair,Furniture,200,2
341,C1880,2024-08-10,Shoes,Fashion,80,5
342,C1907,2025-02-14,Chair,Furniture,200,4
343,C2735,2024-09-23,Chair,Furniture,200,2
344,C6282,2025-11-05,Backpack,Accessories,70,5
345,C9492,2025-11-08,Phone,Electronics,600,3
346,C2565,2026-01-30,Jeans,Fashion,60,5
347,C9827,2025-05-28,Laptop,Electronics,800,2
348,C2717,2024-06-07,Jeans,Fashion,60,4
349,C1844,2024-10-22,Jeans,Fashion,60,2
350,C1247,2025-09-23,Headphones,Electronics,120,1
351,C3166,2026-02-27,Chair,Furniture,200,5
352,C8481,2024-07-20,Desk,Furniture,350,1
353,C5733,2024-05-28,Desk,Furniture,350,2
354,C9956,2024-09-10,Desk,Furniture,350,5
355,C2941,2025-01-22,Chair,Furniture,200,5
356,C8000,2025-05-21,Backpack,Accessories,70,1
357,C6625,2025-02-02,Chair,Furniture,200,2
358,C7456,2025-01-04,Watch,Accessories,150,5
359,C2768,2025-12-05,Tshirt,Fashion,30,4
360,C3978,2025-12-22,Headphones,Electronics,120,1
361,C7884,2024-05-27,Jeans,Fashion,60,4
362,C9080,2025-01-29,Shoes,Fashion,80,5
363,C2139,2026-01-25,Tshirt,Fashion,30,5
364,C1370,2025-09-14,Desk,Furniture,350,2
365,C4761,2025-11-10,Watch,Accessories,150,4
366,C8132,2025-09-08,Tshirt,Fashion,30,4
367,C1726,2026-01-17,Desk,Furniture,350,2
368,C4335,2024-03-28,Backpack,Accessories,70,2
369,C3046,2024-06-23,Tshirt,Fashion,30,5
370,C4046,2024-09-30,Chair,Furniture,200,4
371,C7437,2025-09-02,Watch,Accessories,150,1
372,C7767,2024-11-01,Phone,Electronics,600,5
373,C3544,2024-07-21,Shoes,Fashion,80,4
374,C8408,2026-02-28,Headphones,Electronics,120,1
375,C8962,2024-08-20,Chair,Furniture,200,3
376,C2963,2025-12-26,Chair,Furniture,200,2
377,C8663,2025-08-09,Desk,Furniture,350,3
378,C7725,2024-07-28,Desk,Furniture,350,4
379,C9073,2024-12-11,Headphones,Electronics,120,3
380,C7836,2025-10-27,Backpack,Accessories,70,3
381,C5775,2025-11-14,Laptop,Electronics,800,3
382,C2039,2024-08-08,Jeans,Fashion,60,1
383,C6830,2026-01-04,Phone,Electronics,600,3
384,C9849,2025-03-08,Backpack,Accessories,70,5
385,C5126,2025-03-15,Shoes,Fashion,80,1
386,C6032,2025-09-15,Laptop,Electronics,800,4
387,C5436,2025-01-19,Laptop,Electronics,800,3
388,C2754,2025-04-04,Chair,Furniture,200,5
389,C2259,2024-05-27,Desk,Furniture,350,1
390,C8379,2024-08-28,Phone,Electronics,600,2
391,C4179,2026-02-28,Headphones,Electronics,120,5
392,C5097,2026-01-04,Chair,Furniture,200,4
393,C6284,2024-05-24,Desk,Furniture,350,4
394,C7085,2025-05-10,Jeans,Fashion,60,1
395,C7948,2025-11-17,Tshirt,Fashion,30,3
396,C5645,2026-01-01,Watch,Accessories,150,2
397,C6879,2025-02-01,Tshirt,Fashion,30,2
398,C7499,2025-09-27,Tshirt,Fashion,30,1
399,C3390,2025-08-01,Chair,Furniture,200,4
400,C3184,2024-04-27,Laptop,Electronics,800,2
401,C8841,2024-03-17,Desk,Furniture,350,1
402,C6495,2025-04-01,Headphones,Electronics,120,3
403,C8275,2024-08-04,Desk,Furniture,350,5
404,C5108,2026-03-07,Desk,Furniture,350,1
405,C2368,2024-12-12,Jeans,Fashion,60,5
406,C5370,2025-08-15,Desk,Furniture,350,3
407,C1014,2025-02-10,Chair,Furniture,200,5
408,C6382,2025-05-05,Tshirt,Fashion,30,3
409,C1051,2025-07-15,Shoes,Fashion,80,4
410,C2067,2025-03-30,Headphones,Electronics,120,5
411,C7488,2025-12-15,Shoes,Fashion,80,1
412,C6753,2026-02-21,Desk,Furniture,350,3
413,C9630,2024-03-11,Tshirt,Fashion,30,4
414,C3220,2025-09-03,Desk,Furniture,350,5
415,C5778,2025-05-23,Phone,Electronics,600,5
416,C8821,2024-08-26,Tshirt,Fashion,30,2
417,C6831,2026-02-10,Phone,Electronics,600,4
418,C4185,2025-05-25,Watch,Accessories,150,2
419,C6138,2025-10-17,Laptop,Electronics,800,1
420,C9760,2025-08-28,Jeans,Fashion,60,1
421,C6089,2024-03-17,Watch,Accessories,150,2
422,C2031,2025-11-19,Jeans,Fashion,60,4
423,C1546,2025-04-30,Jeans,Fashion,60,5
424,C8342,2025-08-01,Phone,Electronics,600,1
425,C6795,2025-11-05,Backpack,Accessories,70,4
426,C8628,2024-09-23,Tshirt,Fashion,30,3
427,C8985,2025-03-11,Jeans,Fashion,60,2
428,C4486,2026-02-07,Desk,Furniture,350,2
429,C9731,2025-11-13,Shoes,Fashion,80,1
430,C5632,2025-06-18,Watch,Accessories,150,3
431,C3643,2025-09-18,Phone,Electronics,600,2
432,C5417,2024-12-21,Tshirt,Fashion,30,5
433,C2780,2026-03-04,Watch,Accessories,150,5
434,C4643,2024-04-23,Laptop,Electronics,800,4
435,C4228,2025-08-30,Desk,Furniture,350,3
436,C5087,2025-02-16,Desk,Furniture,350,3
437,C3914,2024-08-04,Desk,Furniture,350,2
438,C1967,2024-10-11,Chair,Furniture,200,3
439,C5225,2024-12-14,Headphones,Electronics,120,3
440,C5050,2024-11-28,Backpack,Accessories,70,3
441,C6854,2024-09-05,Jeans,Fashion,60,1
442,C5254,2024-07-21,Chair,Furniture,200,3
443,C4246,2024-04-28,Desk,Furniture,350,1
444,C9929,2025-11-18,Backpack,Accessories,70,5
445,C1279,2025-08-06,Tshirt,Fashion,30,3
446,C4298,2025-12-17,Watch,Accessories,150,4
447,C1290,2024-06-29,Chair,Furniture,200,3
448,C1052,2024-11-20,Tshirt,Fashion,30,3
449,C7665,2024-05-05,Laptop,Electronics,800,5
450,C9500,2024-12-30,Phone,Electronics,600,3
451,C7311,2024-05-31,Phone,Electronics,600,4
452,C6866,2025-01-08,Watch,Accessories,150,3
453,C4625,2026-01-13,Tshirt,Fashion,30,1
454,C3403,2026-02-14,Shoes,Fashion,80,1
455,C3856,2024-11-12,Tshirt,Fashion,30,1
456,C3772,2024-04-15,Shoes,Fashion,80,3
457,C5933,2024-08-05,Shoes,Fashion,80,1
458,C5906,2024-04-04,Chair,Furniture,200,4
459,C5556,2024-12-09,Chair,Furniture,200,1
460,C2687,2025-06-09,Laptop,Electronics,800,1
461,C4553,2025-05-12,Backpack,Accessories,70,1
462,C3751,2024-12-22,Shoes,Fashion,80,2
463,C2799,2025-04-18,Headphones,Electronics,120,2
464,C8817,2026-01-29,Desk,Furniture,350,1
465,C5416,2025-12-29,Tshirt,Fashion,30,4
466,C5464,2025-07-27,Phone,Electronics,600,4
467,C9435,2025-10-20,Laptop,Electronics,800,1
468,C8632,2025-05-09,Jeans,Fashion,60,2
469,C7821,2025-05-07,Watch,Accessories,150,1
470,C4739,2025-02-13,Headphones,Electronics,120,5
471,C7472,2025-08-03,Backpack,Accessories,70,2
472,C3518,2025-04-14,Desk,Furniture,350,1
473,C7634,2026-01-17,Tshirt,Fashion,30,5
474,C9196,2025-02-03,Phone,Electronics,600,1
475,C4930,2025-04-25,Chair,Furniture,200,3
476,C1632,2025-09-27,Tshirt,Fashion,30,2
477,C4647,2025-05-24,Headphones,Electronics,120,2
478,C8498,2025-06-30,Chair,Furniture,200,3
479,C5832,2025-06-07,Laptop,Electronics,800,4
480,C2304,2024-10-18,Laptop,Electronics,800,3
481,C8840,2024-04-09,Tshirt,Fashion,30,3
482,C5780,2024-04-16,Laptop,Electronics,800,5
483,C5660,2025-11-04,Headphones,Electronics,120,4
484,C6392,2025-10-24,Headphones,Electronics,120,1
485,C7483,2025-09-23,Tshirt,Fashion,30,3
486,C4767,2026-02-19,Watch,Accessories,150,5
487,C9942,2025-06-17,Desk,Furniture,350,1
488,C9263,2026-02-22,Tshirt,Fashion,30,4
489,C5661,2026-01-09,Shoes,Fashion,80,2
490,C2442,2024-10-07,Jeans,Fashion,60,3
491,C8630,2025-07-22,Desk,Furniture,350,1
492,C4325,2024-07-12,Backpack,Accessories,70,1
493,C3098,2024-12-13,Phone,Electronics,600,4
494,C4307,2025-09-28,Laptop,Electronics,800,2
495,C7046,2025-05-11,Phone,Electronics,600,2
496,C1975,2024-10-03,Jeans,Fashion,60,2
497,C2871,2024-05-15,Jeans,Fashion,60,3
498,C3663,2024-06-16,Shoes,Fashion,80,2
499,C6020,2024-06-22,Backpack,Accessories,70,1
500,C2871,2025-07-07,Tshirt,Fashion,30,2
501,C6158,2025-08-05,Desk,Furniture,350,4
502,C3633,2025-04-11,Laptop,Electronics,800,2
503,C8865,2024-03-30,Laptop,Electronics,800,2
504,C1613,2024-05-16,Chair,Furniture,200,4
505,C4163,2024-12-03,Desk,Furniture,350,1
506,C9446,2024-04-11,Desk,Furniture,350,3
507,C2364,2024-05-21,Tshirt,Fashion,30,2
508,C2022,2025-04-23,Jeans,Fashion,60,5
509,C6004,2024-09-08,Tshirt,Fashion,30,4
510,C9342,2025-02-23,Headphones,Electronics,120,2
511,C7759,2024-08-28,Backpack,Accessories,70,3
512,C1247,2025-10-07,Shoes,Fashion,80,3
513,C4297,2024-07-12,Headphones,Electronics,120,4
514,C2628,2025-01-08,Desk,Furniture,350,2
515,C5998,2025-12-31,Shoes,Fashion,80,4
516,C6949,2025-10-09,Watch,Accessories,150,3
517,C5244,2024-03-17,Backpack,Accessories,70,3
518,C8301,2026-01-04,Watch,Accessories,150,2
519,C2965,2025-04-28,Shoes,Fashion,80,4
520,C9922,2024-12-30,Shoes,Fashion,80,2
521,C6005,2024-07-14,Chair,Furniture,200,1
522,C5624,2025-08-07,Headphones,Electronics,120,3
